,ASIANPAINT.NS,BAJAJ-AUTO.NS,HCLTECH.NS,INFY.NS,TCS.NS,TITAN.NS
2022-07-23,3686.727524131578,3252.543199960578,1306.9259647878678,2011.877119546733,3829.8428597915126,2563.350968548131
2022-07-24,3692.1295966207717,3243.3270074877087,1304.5691233262583,2017.342293664602,3836.3143522094747,2559.755836640349
2022-07-25,3696.539039997783,3241.7937020674685,1303.3681382890281,2014.7130832940534,3848.3351973203876,2565.745484436285
2022-07-26,3709.644776031289,3237.0040866668883,1303.0286103020694,2007.001914679134,3848.302792278739,2569.6164529539938
2022-07-27,3702.370792219392,3247.7711998255645,1306.7617939938145,2002.0197770815914,3868.5183701804076,2559.891365068989
2022-07-28,3715.6578050442463,3262.369329259595,1306.702952869882,1994.5828594381715,3868.616859645778,2564.257912118829
2022-07-29,3716.399196036726,3266.8300304158042,1304.892371925016,1992.5199780469352,3871.647733380925,2567.6895119901596
2022-07-30,3731.8545914974106,3269.207636025587,1303.8794893041884,1996.8438419576098,3877.481812655871,2571.9893854852708
2022-07-31,3722.370593740943,3274.3224473547584,1303.5090418888549,1990.482943715484,3878.411635326488,2565.9612400242463
2022-08-01,3720.098030286361,3278.640476980984,1301.3775018855074,1990.6253086528613,3878.1394682398422,2550.2370193030997
2022-08-02,3736.575406363297,3277.180649798487,1298.7445133199913,1992.36225848102,3891.110109774453,2547.0783189048407
2022-08-03,3730.6990173068575,3262.9655055413295,1300.7855854143543,1996.2189424886383,3890.0783889634104,2543.6365675490333
2022-08-04,3731.416678274113,3258.412751950711,1304.5868269683754,1985.8029789189545,3881.8743339399407,2538.7894118900704
2022-08-05,3710.6766578269344,3254.574124724687,1308.6403318044593,1987.4332645132781,3858.944375834545,2541.5823756286136
2022-08-06,3709.553792185856,3254.2546295938946,1306.9052670885553,1984.208623292297,3856.9503570551474,2538.1110677135757
2022-08-07,3711.7984046216175,3247.133895263518,1298.1741405464195,1990.4766317692472,3856.877753656674,2539.53813734385
2022-08-08,3707.708752462585,3259.0350095601084,1296.5967515374755,1991.3258897456494,3879.774499704107,2540.4748815693742
2022-08-09,3695.746308618468,3256.4930044048224,1293.4986374885736,1993.1699268862353,3891.4685250015123,2557.5225563744807
2022-08-10,3704.812521252295,3267.1677199699125,1292.987598166982,1989.5977116099498,3903.260757825455,2563.252315265437
2022-08-11,3696.9367755271437,3264.5443652765857,1292.7416402704443,1992.783895173443,3910.345597112287,2560.8379225708313
2022-08-12,3709.9130852173867,3272.0862402981434,1301.8762298930278,1997.4654730044372,3904.2844688945966,2555.968698987452
2022-08-13,3721.7494445757684,3275.70782197728,1308.6461173805133,1991.1288182218718,3913.014967337048,2537.048340520365
2022-08-14,3723.266802025818,3280.3863291644675,1307.0992543181796,1991.2358396014338,3922.66428848254,2543.634625016145
2022-08-15,3738.453464826329,3286.9459790750166,1308.1854650633627,1987.4715870763907,3914.5930749258396,2534.1426603567097
2022-08-16,3757.230792888056,3271.7583965488725,1309.9317350485258,1976.3235953845924,3922.91244809853,2532.935968741035
2022-08-17,3764.052326652081,3273.7534506071197,1309.2912556563037,1981.494566645754,3917.653781745516,2528.114197787339
2022-08-18,3774.392707606848,3269.3519675505495,1312.2623289617627,1984.2463323664895,3921.8437527721435,2516.085680577554
2022-08-19,3773.605539855906,3255.0477728203955,1313.3599624841504,1986.8389238088996,3932.0932950007177,2513.540085749413
2022-08-20,3765.4137402951806,3257.3525420504016,1315.4229537353044,1985.2172821725483,3910.0323086655458,2504.2239175827067
2022-08-21,3764.860287358037,3265.7562284501823,1305.6594243839745,1983.9460280526532,3908.3348487503645,2512.5780814332306
